Date,Titre,Contenu,Image
1944,Création du journal Sud Ouest,"Jacques Lemoîne crée le journal Sud Ouest. Le premier numéro, qui ne comptait qu'une seule page, a été diffusé uniquement à Bordeaux avec un tirage de 76 000 exemplaires.",1944.jpg
1949,Lancement de Sud Ouest Dimanche,"Lancement de Sud Ouest Dimanche, le nouveau journal consacré au septième jour de la semaine. Ce premier numéro a été imprimé à 49 500 exemplaires.",1949.jpg
1963,"L’hôtel Cheverus, ancien siège du journal Sud Ouest","Sud Ouest inaugure ses nouveaux locaux rue de Cheverus à Bordeaux, en présence de quatre ministres, Jacques Chaban-Delmas, Jacques Lemoîne, Henri Amouroux et Georges Pompidou.",1963.jpg
1964,"En plus du quotidien, Sud Ouest se lance dans des suppléments ","Premier numéro du supplément 17/24, un journal animé par une équipe de jeunes de moins de 24 ans. De grandes signatures, comme Jean-Claude Guillebaud, y ont débuté.",1964.jpg
1968,"13 février 1968 : le jour où le fondateur de Sud Ouest Jacques Lemoîne, est mort","Vice-président du conseil d’administration de l’agence France Presse, il a aussi joué un rôle important au sein du Syndicat national de la presse quotidienne et régionale. Il était également vice-président du groupement des journaux en régie Havas et vice-président de l’Association syndicale professionnelle des rédacteurs en chef des journaux et revues français.",1968.jpg
1977,Sud Ouest s'engage dans l'éducation aux médias,"Jean-François Lemoîne, convaincu que les quotidiens sont un instrument d'éducation, fonde et préside l'ARPEJ (association régions presse enseignement jeunesse).",1977.jpg
1984,Un changement de format pour le premier quotidien d'Aquitaine,Le changement le plus significatif depuis le premier numéro de Sud Ouest : une nouvelle mise en page de la Une et de l'ensemble du journal.,1984.jpg
1990,Un troisième prix Albert-Londres ! ,"Trois journalistes de Sud Ouest, Jean-Claude Guillebaud (1972), Pierre Veilletet (1976) et Yves Harté, ont reçu au cours de leur carrière à Sud Ouest, le Prix Albert-Londres, qui récompense les meilleurs grands reporters.",1990.jpg
1992,Sud Ouest s'engage pour la sécurité routière,"Le 26 juin 1993, Sud Ouest lançait l’«Equipée Kaspa ta vie», une caravane de jeunes motards qui allaient sillonner les routes de la région durant tout l’été dans le cadre d’une grande campagne de sensibilisation face aux accidents de la route. ",1992.jpg
1994,Sud Ouest : 50 ans d'avenir,"Pour ses 50 ans, Sud Ouest publie ""L'album du futur"", un ouvrage qui témoigne de l'engagement du journal et de sa vision de la région dans les 50 prochaines années : un bond dans le futur !",1994.jpg
1996,www... Le premier site internet de Sud Ouest,"Création de sudouest.com, le premier site internet du journal Sud Ouest et l'un des premiers sites de Presse Quotidienne régionale en France. ",1996.jpg
1999,Sud Ouest publie sa dernière édition du siècle,"À la une, une sélection de mots clés qui racontent la grande et la petite histoire des cent dernières années, un choix de dix mots par décennie.",1999.jpg
2001,Lancement du nouveau centre d'impression,"Dans la nuit du 5 au 6 septembre 2001, le nouveau centre d'impression de Sud Ouest, installé au 40 quai de Brazza au coeur de la ville de Bordeaux, démarre sa première production.",2001.jpg
2009,Les équipes du journal déménagent,"Les équipes de Sud Ouest déménagent de la rue de Cheverus pour s'installer dans de nouveaux locaux au 23 quai des Queyries, sur la rive droite de la Garonne à Bordeaux.",2009.jpg
2014,Transition vers la couleurs,"Sud Ouest célèbre ses 70 ans avec un supplément spécial, passe à la quadrichromie, tandis que le supplément magazine du samedi publie son centième numéro avec 100 coups de cœur.",2014.jpg
2015,Sud Ouest dit non contre l'attentat de Charlie Hebdo,"Suite au dramatique attentat islamiste perpétré le 7 janvier contre Charlie Hebdo, Sud Ouest délivre un message simple et très fort à la fois : un grand ""NON"" sur un fond noir. ",2015.jpg
2017,Sud Ouest se diversifie,"Implantation de TV7 au siège du Groupe Sud Ouest et diversification des activités événementielles : organisation de débats, séminaires, salons, événements d'entreprise, etc.",2017.jpg
2022 (1/2),"Arrivée de Flore Galaud, première femme rédactrice en chef de Sud Ouest","Flore Galaud est nommée rédactrice en chef de « Sud Ouest », sous la responsabilité de Jean-Pierre Dorian, promu directeur de la rédaction.",2022_01.jpg
2022 (2/2),Sud Ouest participe aux actions de reboisement,"Suite aux incendies qui ont ravagé la Gironde, Sud Ouest publie un hors-série dont les bénéfices sont reversés aux sinistrés, au reboisement et à la lutte contre les incendies.",2022_02.jpg
2023,Lancement du projet Déclic,"Le Groupe Sud Ouest lance Déclic, un projet autour de l’impact, de l’environnement et de l’avenir de la région Sud-Ouest face au changement climatique.",2023.jpg
2024,Sud Ouest se réinvente,"Nouveau format, maquette et logo : cette refonte vise à mieux répondre aux attentes des lecteurs en offrant un meilleur confort de lecture et en priorisant l’information locale et régionale.",2024.jpg
